[ProcessExecutor]2021-04-14 05:50:18.857 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 17:07:56.876 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:07:59.372 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:07:59.373 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:07:59.501 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:07:59.503 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:08:35.981 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:08:35.983 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:08:36.189 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:08:36.191 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:08:38.550 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:08:38.552 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:08:38.802 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:08:38.804 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:09:16.122 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:09:16.123 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:09:16.183 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:09:16.184 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:09:18.783 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:09:18.785 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:09:18.834 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:09:18.836 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:09:56.193 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:09:56.195 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:09:56.221 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:09:56.223 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:09:58.936 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:09:58.938 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:09:58.977 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:09:58.979 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:10:36.334 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:10:36.336 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:10:36.431 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:10:36.433 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:10:38.948 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:10:38.950 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:10:39.157 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:10:39.159 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:11:15.768 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:11:15.770 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:11:15.842 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:11:15.844 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:11:18.356 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:11:18.358 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:11:18.501 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:11:18.503 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:11:54.800 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:11:54.801 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:11:54.840 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:11:54.842 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:11:57.448 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:11:57.450 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:11:57.451 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 17:11:57.452 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 17:12:33.656 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:12:33.657 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 17:12:33.697 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 17:12:33.699 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

