[ProcessExecutor]2021-04-14 05:50:18.857 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 08:35:11.081 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:35:11.083 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:35:13.542 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:35:13.544 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:35:13.805 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:35:13.807 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:35:50.505 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:35:50.508 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:35:50.628 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:35:50.630 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:35:53.148 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:35:53.149 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:35:53.239 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:35:53.241 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:36:31.335 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:36:31.355 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:36:31.676 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:36:31.679 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:36:33.939 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:36:33.941 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:36:34.307 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:36:34.309 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:37:10.642 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:37:10.644 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:37:10.739 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:37:10.741 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:37:13.260 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
